longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN
-122.7,39.14,13.0,6.278521424165844,4.718498871295094,5.3706380281276624,4.143134726391533,3.3929,108300.0,0,1,0,0,0
-121.96,37.85,10.0,8.07402621612406,5.940171252720432,7.090076835776092,5.973809611869261,12.2478,500001.0,0,1,0,0,0
-122.69,38.44,31.0,7.500529485395295,5.755742213586912,6.539585955617669,5.638354669333745,3.8583,193200.0,1,0,0,0,0
-118.45,34.02,41.0,7.9919305198524775,6.55250788703459,7.10085190894405,6.470799503782602,3.4583,421900.0,1,0,0,0,0
-118.35,33.96,26.0,7.928045600874777,6.525029657843462,7.353081920515432,6.448889394146858,3.1354,164300.0,1,0,0,0,0
-118.11,34.01,41.0,6.704414354964107,5.53338948872752,6.654152520183219,5.44673737166631,2.2847,190000.0,1,0,0,0,0
-118.28,33.74,40.0,7.468513271496337,6.240275845170769,7.570443252057374,6.222576268071369,1.5394,200000.0,0,0,0,0,1
-121.36,38.67,5.0,8.669055540725484,7.318539548567902,8.08271113423758,7.213031659834869,2.2339,116600.0,0,1,0,0,0
-122.72,38.48,23.0,7.739359202689098,5.877735781779639,6.805722553416985,5.814130531825066,6.0298,289100.0,1,0,0,0,0
-124.16,40.79,52.0,7.142827401161621,5.627621113690637,6.3835066348840055,5.652489180268651,1.7778,76900.0,0,0,0,0,1
-118.11,33.85,36.0,7.791109510610028,5.966146739123692,7.037905963447182,5.961005339623274,4.8393,216300.0,1,0,0,0,0
-118.58,34.22,35.0,7.585788821732034,5.8289456176102075,6.85751406254539,5.831882477283517,4.875,230400.0,1,0,0,0,0
-121.38,36.85,13.0,8.32263709695394,6.663132695990803,7.973844375944687,6.617402977974478,3.7316,192400.0,0,1,0,0,0
-118.22,33.83,42.0,7.223295679562314,5.703782474656201,6.926577033222725,5.796057750765372,4.4474,160200.0,1,0,0,0,0
-117.22,33.22,15.0,7.266128779556451,5.840641657373398,6.558197802812269,5.777652323222656,1.9571,162500.0,1,0,0,0,0
-119.01,35.38,52.0,4.74493212836325,3.295836866004329,5.0689042022202315,3.295836866004329,1.075,67500.0,0,1,0,0,0
-118.44,34.27,35.0,6.656726524178391,5.236441962829949,6.930494765951626,5.231108616854587,3.4,139600.0,1,0,0,0,0
-122.46,37.72,37.0,7.51425465281641,5.963579343618446,6.9975959829819265,5.8971538676367405,3.0703,211800.0,0,0,0,0,1
-119.31,36.34,14.0,8.001689978099135,6.410174881966167,7.719129840906732,6.410174881966167,2.1602,65200.0,0,1,0,0,0
-122.03,37.97,20.0,8.286269452783065,6.837332814685591,7.874739125171811,6.806829360392176,2.9915,166700.0,0,0,0,1,0
